rankx   flowid   timex
99759879   0   6292900
9759879   2   6304900
49759879   1   6316900
99758499   0   6328900
9758499   2   6340900
49758499   1   6352900
99757119   0   6364900
9757119   2   6376900
49757119   1   6388900
99755739   0   6400900
9755739   2   6412900
49755739   1   6424900
99754359   0   6436900
9754359   2   6448900
49754359   1   6460900
99752979   0   6472900
9752979   2   6484900
49752979   1   6496900
99751599   0   6508900
9751599   2   6520900
49751599   1   6532900
99750219   0   6544900
9750219   2   6556900
49750219   1   6568900
99748839   0   6580900
9748839   2   6592900
49748839   1   6604900
99747459   0   6616900
9747459   2   6628900
49747459   1   6640900
99746079   0   6652900
9746079   2   6664900
49746079   1   6676900
99744699   0   6688900
9744699   2   6700900
49744699   1   6712900
99743319   0   6724900
9743319   2   6736900
49743319   1   6748900
99741939   0   6760900
9741939   2   6772900
49741939   1   6784900
99740559   0   6796900
9740559   2   6808900
49740559   1   6820900
99739179   0   6832900
9739179   2   6844900
49739179   1   6856900
99737799   0   6868900
99736419   0   6880900
99735039   0   6892900
9737799   2   6904900
49737799   1   6916900
9736419   2   6928900
9735039   2   6940900
49736419   1   6952900
99733659   0   6964900
99732279   0   6976900
99730899   0   6988900
49735039   1   7000900
9733659   2   7012900
9732279   2   7024900
9730899   2   7036900
49733659   1   7048900
99729519   0   7060900
99728139   0   7072900
49730899   1   7084900
9729519   2   7096900
9728139   2   7108900
99726759   0   7120900
9726759   2   7132900
49726759   1   7144900
99725379   0   7156900
9725379   2   7168900
49725379   1   7180900
99723999   0   7192900
9723999   2   7204900
49723999   1   7216900
99722619   0   7228900
9722619   2   7240900
49722619   1   7252900
99721239   0   7264900
9721239   2   7276900
49721239   1   7288900
99719859   0   7300900
9719859   2   7312900
49719859   1   7324900
99718479   0   7336900
9718479   2   7348900
49718479   1   7360900
99717099   0   7372900
9717099   2   7384900
49717099   1   7396900
99715719   0   7408900
9715719   2   7420900
49715719   1   7432900
99714339   0   7444900
9714339   2   7456900
49714339   1   7468900
99712959   0   7480900
9712959   2   7492900
49712959   1   7504900
99711579   0   7516900
9711579   2   7528900
49711579   1   7540900
99710199   0   7552900
9710199   2   7564900
49710199   1   7576900
99708819   0   7588900
9708819   2   7600900
49708819   1   7612900
99707439   0   7624900
9707439   2   7636900
49707439   1   7648900
99706059   0   7660900
9706059   2   7672900
49706059   1   7684900
99704679   0   7696900
9704679   2   7708900
49704679   1   7720900
99703299   0   7732900
9703299   2   7744900
49703299   1   7756900
99701919   0   7768900
9701919   2   7780900
49701919   1   7792900
99700539   0   7804900
9700539   2   7816900
49700539   1   7828900
