rankx   flowid   timex
9282399   2   6424900
9281019   2   6436900
9279639   2   6448900
9278259   2   6460900
9276879   2   6472900
9275499   2   6484900
9274119   2   6496900
9272739   2   6508900
9271359   2   6520900
9269979   2   6532900
9268599   2   6544900
9267219   2   6556900
9265839   2   6568900
9264459   2   6580900
9263079   2   6592900
9261699   2   6604900
9260319   2   6616900
9258939   2   6628900
9257559   2   6640900
9256179   2   6652900
9254799   2   6664900
9253419   2   6676900
9252039   2   6688900
9315519   2   6700900
49999999   1   6712900
49998619   1   6724900
9250659   2   6736900
9249279   2   6748900
9247899   2   6760900
9246519   2   6772900
9245139   2   6784900
9243759   2   6796900
9242379   2   6808900
9240999   2   6820900
9239619   2   6832900
9238239   2   6844900
9236859   2   6856900
9235479   2   6868900
9234099   2   6880900
9232719   2   6892900
9231339   2   6904900
9229959   2   6916900
9228579   2   6928900
9227199   2   6940900
9225819   2   6952900
9224439   2   6964900
9223059   2   6976900
9221679   2   6988900
9220299   2   7000900
9218919   2   7012900
9217539   2   7024900
9216159   2   7036900
9214779   2   7048900
9213399   2   7060900
9212019   2   7072900
9210639   2   7084900
9209259   2   7096900
9207879   2   7108900
9206499   2   7120900
9205119   2   7132900
9203739   2   7144900
9202359   2   7156900
9200979   2   7168900
9199599   2   7180900
9198219   2   7192900
9196839   2   7204900
9195459   2   7216900
9194079   2   7228900
9192699   2   7240900
9191319   2   7252900
9189939   2   7264900
9188559   2   7276900
9187179   2   7288900
9185799   2   7300900
9184419   2   7312900
9183039   2   7324900
9181659   2   7336900
9180279   2   7348900
9178899   2   7360900
9177519   2   7372900
9176139   2   7384900
9174759   2   7396900
9173379   2   7408900
9171999   2   7420900
9170619   2   7432900
9169239   2   7444900
9167859   2   7456900
9166479   2   7468900
9165099   2   7480900
9163719   2   7492900
9162339   2   7504900
9160959   2   7516900
9159579   2   7528900
9158199   2   7540900
9155439   2   7552900
9154059   2   7564900
9152679   2   7576900
9151299   2   7588900
9149919   2   7600900
9148539   2   7612900
9147159   2   7624900
9145779   2   7636900
9144399   2   7648900
9143019   2   7660900
9141639   2   7672900
9140259   2   7684900
9138879   2   7696900
9137499   2   7708900
9136119   2   7720900
9134739   2   7732900
9133359   2   7744900
9131979   2   7756900
9130599   2   7768900
9129219   2   7780900
9127839   2   7792900
9126459   2   7804900
9125079   2   7816900
9123699   2   7828900
9122319   2   7840900
9120939   2   7852900
9119559   2   7864900
9118179   2   7876900
9116799   2   7888900
9115419   2   7900900
9114039   2   7912900
9112659   2   7924900
9111279   2   7936900
9109899   2   7948900
9108519   2   7960900
9107139   2   7972900
9105759   2   7984900
9104379   2   7996900
9102999   2   8008900
9101619   2   8020900
9100239   2   8032900
9098859   2   8044900
9097479   2   8056900
9096099   2   8068900
9094719   2   8080900
9093339   2   8092900
9156819   2   8104900
49990339   1   8116900
49988959   1   8128900
9091959   2   8140900
9090579   2   8152900
9089199   2   8164900
9087819   2   8176900
9086439   2   8188900
9085059   2   8200900
9083679   2   8212900
9082299   2   8224900
9080919   2   8236900
9079539   2   8248900
9078159   2   8260900
9076779   2   8272900
9075399   2   8284900
9074019   2   8296900
9072639   2   8308900
9071259   2   8320900
9069879   2   8332900
9068499   2   8344900
9067119   2   8356900
9065739   2   8368900
9064359   2   8380900
9062979   2   8392900
9061599   2   8404900
9060219   2   8416900
9058839   2   8428900
9057459   2   8440900
9056079   2   8452900
9054699   2   8464900
9053319   2   8476900
9051939   2   8488900
9050559   2   8500900
9049179   2   8512900
9047799   2   8524900
9046419   2   8536900
9045039   2   8548900
9043659   2   8560900
9042279   2   8572900
9040899   2   8584900
9039519   2   8596900
9038139   2   8608900
9036759   2   8620900
9035379   2   8632900
9033999   2   8644900
9032619   2   8656900
9031239   2   8668900
9029859   2   8680900
9028479   2   8692900
9027099   2   8704900
9025719   2   8716900
9024339   2   8728900
9022959   2   8740900
9021579   2   8752900
9020199   2   8764900
9018819   2   8776900
9017439   2   8788900
9016059   2   8800900
9014679   2   8812900
9013299   2   8824900
9011919   2   8836900
9010539   2   8848900
9009159   2   8860900
9007779   2   8872900
9006399   2   8884900
9005019   2   8896900
9003639   2   8908900
9002259   2   8920900
9000879   2   8932900
8999499   2   8944900
8996739   2   8956900
8995359   2   8968900
8993979   2   8980900
8992599   2   8992900
8991219   2   9004900
8989839   2   9016900
8988459   2   9028900
8987079   2   9040900
8985699   2   9052900
8984319   2   9064900
8982939   2   9076900
8981559   2   9088900
8980179   2   9100900
8978799   2   9112900
8977419   2   9124900
8976039   2   9136900
8974659   2   9148900
8973279   2   9160900
8971899   2   9172900
8970519   2   9184900
8969139   2   9196900
8967759   2   9208900
8966379   2   9220900
8964999   2   9232900
8963619   2   9244900
8962239   2   9256900
8960859   2   9268900
8959479   2   9280900
8958099   2   9292900
8956719   2   9304900
8955339   2   9316900
8953959   2   9328900
8952579   2   9340900
8951199   2   9352900
8949819   2   9364900
8948439   2   9376900
8947059   2   9388900
8945679   2   9400900
8944299   2   9412900
8942919   2   9424900
8941539   2   9436900
8940159   2   9448900
8938779   2   9460900
8937399   2   9472900
8936019   2   9484900
8934639   2   9496900
8998119   2   9508900
49987579   1   9520900
49986199   1   9532900
8933259   2   9544900
8931879   2   9556900
8930499   2   9568900
8929119   2   9580900
8927739   2   9592900
8926359   2   9604900
8924979   2   9616900
8923599   2   9628900
8922219   2   9640900
8920839   2   9652900
8919459   2   9664900
8918079   2   9676900
8916699   2   9688900
8915319   2   9700900
8913939   2   9712900
8912559   2   9724900
8911179   2   9736900
8909799   2   9748900
8908419   2   9760900
8907039   2   9772900
8905659   2   9784900
8904279   2   9796900
8902899   2   9808900
8901519   2   9820900
8900139   2   9832900
8898759   2   9844900
8897379   2   9856900
8895999   2   9868900
8894619   2   9880900
8893239   2   9892900
8891859   2   9904900
8890479   2   9916900
8889099   2   9928900
8887719   2   9940900
8886339   2   9952900
8884959   2   9964900
8883579   2   9976900
8882199   2   9988900
8880819   2   10000900
8879439   2   10012900
8878059   2   10024900
8876679   2   10036900
8875299   2   10048900
8873919   2   10060900
8872539   2   10072900
8871159   2   10084900
8869779   2   10096900
8868399   2   10108900
8867019   2   10120900
8865639   2   10132900
8864259   2   10144900
8862879   2   10156900
8861499   2   10168900
8860119   2   10180900
8858739   2   10192900
8857359   2   10204900
8855979   2   10216900
8854599   2   10228900
8853219   2   10240900
8851839   2   10252900
8850459   2   10264900
8849079   2   10276900
8847699   2   10288900
8846319   2   10300900
8844939   2   10312900
8843559   2   10324900
8842179   2   10336900
8840799   2   10348900
8838039   2   10360900
8836659   2   10372900
8835279   2   10384900
8833899   2   10396900
8832519   2   10408900
8831139   2   10420900
8829759   2   10432900
8828379   2   10444900
8826999   2   10456900
8825619   2   10468900
8824239   2   10480900
8822859   2   10492900
8821479   2   10504900
8820099   2   10516900
8818719   2   10528900
8817339   2   10540900
8815959   2   10552900
8814579   2   10564900
8813199   2   10576900
8811819   2   10588900
8810439   2   10600900
8809059   2   10612900
8807679   2   10624900
8806299   2   10636900
8804919   2   10648900
8803539   2   10660900
8802159   2   10672900
8800779   2   10684900
8799399   2   10696900
8798019   2   10708900
8796639   2   10720900
8795259   2   10732900
8793879   2   10744900
8792499   2   10756900
8791119   2   10768900
8789739   2   10780900
8788359   2   10792900
8786979   2   10804900
8785599   2   10816900
8784219   2   10828900
8782839   2   10840900
8781459   2   10852900
8780079   2   10864900
8778699   2   10876900
8777319   2   10888900
8775939   2   10900900
8839419   2   10912900
49976539   1   10924900
49975159   1   10936900
8774559   2   10948900
8773179   2   10960900
8771799   2   10972900
8770419   2   10984900
8769039   2   10996900
8767659   2   11008900
8766279   2   11020900
8764899   2   11032900
8763519   2   11044900
8762139   2   11056900
8760759   2   11068900
8759379   2   11080900
8757999   2   11092900
8756619   2   11104900
8755239   2   11116900
8753859   2   11128900
8752479   2   11140900
8751099   2   11152900
8749719   2   11164900
8748339   2   11176900
8746959   2   11188900
8745579   2   11200900
8744199   2   11212900
8742819   2   11224900
8741439   2   11236900
8740059   2   11248900
8738679   2   11260900
8737299   2   11272900
8735919   2   11284900
8734539   2   11296900
8733159   2   11308900
8731779   2   11320900
8730399   2   11332900
8729019   2   11344900
8727639   2   11356900
8726259   2   11368900
8724879   2   11380900
8723499   2   11392900
8722119   2   11404900
8720739   2   11416900
8719359   2   11428900
8717979   2   11440900
8716599   2   11452900
8715219   2   11464900
8713839   2   11476900
8712459   2   11488900
8711079   2   11500900
8709699   2   11512900
8708319   2   11524900
8706939   2   11536900
8705559   2   11548900
8704179   2   11560900
8702799   2   11572900
8701419   2   11584900
8700039   2   11596900
8698659   2   11608900
8697279   2   11620900
8695899   2   11632900
8694519   2   11644900
8693139   2   11656900
8691759   2   11668900
8690379   2   11680900
8688999   2   11692900
8687619   2   11704900
8686239   2   11716900
8684859   2   11728900
8683479   2   11740900
8682099   2   11752900
8679339   2   11764900
8677959   2   11776900
8676579   2   11788900
8675199   2   11800900
8673819   2   11812900
8672439   2   11824900
8671059   2   11836900
8669679   2   11848900
8668299   2   11860900
8666919   2   11872900
8665539   2   11884900
8664159   2   11896900
8662779   2   11908900
8661399   2   11920900
8660019   2   11932900
8658639   2   11944900
8657259   2   11956900
8655879   2   11968900
8654499   2   11980900
8653119   2   11992900
8651739   2   12004900
8650359   2   12016900
8648979   2   12028900
8647599   2   12040900
8646219   2   12052900
8644839   2   12064900
8643459   2   12076900
8642079   2   12088900
8640699   2   12100900
8639319   2   12112900
8637939   2   12124900
8636559   2   12136900
8635179   2   12148900
8633799   2   12160900
8632419   2   12172900
8631039   2   12184900
8629659   2   12196900
8628279   2   12208900
8626899   2   12220900
8625519   2   12232900
8624139   2   12244900
8622759   2   12256900
8621379   2   12268900
8619999   2   12280900
8618619   2   12292900
8617239   2   12304900
8680719   2   12316900
49973779   1   12328900
49972399   1   12340900
8615859   2   12352900
8614479   2   12364900
8613099   2   12376900
8611719   2   12388900
8610339   2   12400900
8608959   2   12412900
8607579   2   12424900
8606199   2   12436900
8604819   2   12448900
8603439   2   12460900
8602059   2   12472900
8600679   2   12484900
8599299   2   12496900
